CUSTOMER_NUMBER,COMPANY_NAME,PRIMARY_INDUSTRY,REVENUES (IN MILLIONS DOLLAR),CATEGORY,Account_number
959111000,Esterline Technologies Corp,Machinery,13861,CAT-D,38673575
959111001,AMETEK Inc,Instruments,44673,CAT-A,38673576
959111002,Olin Corp,Chemicals,40283,CAT-A,38673577
959111003,Federal-Mogul Corp,Motor Vehicle Parts,14544,CAT-D,38673578
959111004,Noranda Aluminum Holding Corp,Fabricated Metal Products,44127,CAT-A,38673579
959111005,Martin Marietta Materials Inc,"Stone, Clay, Glass & Concrete Products",6526,CAT-E,38673580
959111006,John Bean Technologies Corp,Electrical Equipment & Appliances,13793,CAT-D,38673581
959111007,Colgate-Palmolive Co,Chemicals,25896,CAT-C,38673582
959111008,Titan International Inc,Primary Metals,27241,CAT-C,38673583
959111009,TTM Technologies Inc,Computers & Other Electronic Products,40538,CAT-A,38673584
959111010,AGCO Corp,Machinery,16790,CAT-D,38673585
959111011,Newfield Exploration Co,Petroleum & Coal Products,42560,CAT-A,38673586
959111012,Praxair Inc,Chemicals,21205,CAT-C,38673587
959111013,Waters Corp,Instruments,13041,CAT-D,38673588
959111014,Hillenbrand Inc,Wood Products,42132,CAT-A,38673589
959111015,Reynolds American Inc,Tobacco,36358,CAT-B,38673590
959111016,Baker Hughes Inc,Machinery,24179,CAT-C,38673591
959111017,B&G Foods Inc (New),Food,23372,CAT-C,38673592
959111018,John Bean Technologies Corp,Electrical Equipment & Appliances,13793,CAT-D,38673593
959111019,IBM Corp,Computers & Other Electronic Products,43467,CAT-A,38673594
959111020,Ford Motor Co,Motor Vehicles,29960,CAT-C,38673595
959111021,Hillenbrand Inc,Wood Products,42132,CAT-A,38673596
959111022,Newell Rubbermaid Inc,Miscellaneous,30228,CAT-B,38673597
959111023,Chevron Corp,Petroleum & Coal Products,49666,CAT-A,38673598
959111024,Linear Technology Corp,Computers & Other Electronic Products,14425,CAT-D,38673599
959111025,A O Smith Corp,Electrical Equipment & Appliances,37665,CAT-B,38673600
959111026,Antero Resources Corp,Petroleum & Coal Products,25807,CAT-C,38673601
959111027,Snyder's-Lance Inc,Food,9336,CAT-E,38673602
959111028,Anadarko Petroleum Corp,Petroleum & Coal Products,16701,CAT-D,38673603
959111029,MPM Holdings Inc,Chemicals,25927,CAT-C,38673604
959111030,Chemours Co,Chemicals,10955,CAT-D,38673605
959111031,Thermo Fisher Scientific Inc,Instruments,40277,CAT-A,38673606
959111032,Advanced Micro Devices Inc,Computers & Other Electronic Products,5798,CAT-E,38673607
959111033,Stryker Corp,Medical Instruments & Equipment,33648,CAT-B,38673608
959111034,Louisiana-Pacific Corp,Wood Products,11458,CAT-D,38673609
959111035,Advanced Micro Devices Inc,Computers & Other Electronic Products,5798,CAT-E,38673610
959111036,Corning Inc,Communications Equipment,36771,CAT-B,38673611
959111037,Pfizer Inc,Pharmaceuticals,24615,CAT-C,38673612
959111038,MDU Resources Group Inc,Miscellaneous,16717,CAT-D,38673613
959111039,Texas Instruments Inc,Computers & Other Electronic Products,46001,CAT-A,38673614
959111040,Owens-Illinois Inc,"Stone, Clay, Glass & Concrete Products",47974,CAT-A,38673615
959111041,Illinois Tool Works Inc,Fabricated Metal Products,46518,CAT-A,38673616
959111042,Spectra Energy Corp Inc,Petroleum & Coal Products,42464,CAT-A,38673617
959111043,Wolverine World Wide Inc,Apparel,44523,CAT-A,38673618
959111044,Cooper-Standard Holdings Inc,Motor Vehicle Parts,24195,CAT-C,38673619
959111045,Newfield Exploration Co,Petroleum & Coal Products,42560,CAT-A,38673620
959111046,Western Refining Inc,Petroleum & Coal Products,28181,CAT-C,38673621
959111047,Tesoro Corp,Petroleum & Coal Products,29074,CAT-C,38673622
959111048,Universal Corp,Tobacco,20073,CAT-C,38673623
959111049,Alon USA Energy Inc,Petroleum & Coal Products,14251,CAT-D,38673624
959111050,Plexus Corp,Computers & Other Electronic Products,5710,CAT-E,38673625
959111051,Ingredion Inc,Food,6156,CAT-E,38673626
959111052,Rockwell Automation Inc,Electrical Equipment & Appliances,21418,CAT-C,38673627
959111053,John Wiley & Sons Inc,Publishing & Printing,42362,CAT-A,38673628
959111054,Williams Cos Inc,Petroleum & Coal Products,49549,CAT-A,38673629
