Product ID,Category,Sub-Category,Product Name,PRICE,DISCOUNT,PROFIT
TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,313,0.16,0.17
FUR-CH-10003950,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",191,0.09,0.18
TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID",237,0.18,0.07
TEC-PH-10004583,Technology,Phones,"Motorola Smart Phone, Cordless",41,0.11,0.11
TEC-SHA-10000501,Technology,Copiers,"Sharp Wireless Fax, High-Speed",149,0.17,0.09
TEC-PH-10000030,Technology,Phones,"Samsung Smart Phone, with Caller ID",88,0.04,0.18
FUR-CH-10004050,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",168,0.11,0.2
FUR-TA-10002958,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled",280,0.03,0.03
OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,276,0.14,0.16
FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,290,0.18,0.06
OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,291,0.18,0.18
FUR-TA-10001889,Furniture,Tables,"Bevis Conference Table, Fully Assembled",197,0.12,0.06
TEC-CIS-10001717,Technology,Phones,"Cisco Smart Phone, with Caller ID",70,0.06,0.19
FUR-CH-10002033,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",323,0.12,0.19
OFF-AP-10003500,Office Supplies,Appliances,"KitchenAid Microwave, White",278,0.09,0.11
OFF-AP-10000423,Office Supplies,Appliances,"Breville Refrigerator, Red",65,0.11,0.12
TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,195,0.15,0.1
OFF-AP-10004512,Office Supplies,Appliances,"Hoover Stove, Red",187,0.18,0.16
TEC-CO-10000865,Technology,Copiers,"Brother Fax Machine, High-Speed",323,0.11,0.13
OFF-KIT-10004058,Office Supplies,Appliances,"KitchenAid Stove, White",167,0.15,0.1
FUR-HON-10000224,Furniture,Tables,"Hon Computer Table, with Bottom Storage",123,0,0.2
TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,192,0.04,0.17
FUR-CH-10000027,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",287,0.06,0.2
OFF-AP-10003590,Office Supplies,Appliances,"KitchenAid Refrigerator, Black",152,0.09,0.13
TEC-PH-10004182,Technology,Phones,"Motorola Smart Phone, Full Size",110,0.06,0.05
FUR-TA-10002827,Furniture,Tables,"Hon Computer Table, Fully Assembled",296,0.17,0.1
FUR-TA-10004744,Furniture,Tables,"Lesro Conference Table, with Bottom Storage",61,0.2,0.17
TEC-PH-10002885,Technology,Phones,Apple iPhone 5,133,0.16,0.03
FUR-CH-10001415,Furniture,Chairs,"Office Star Executive Leather Armchair, Red",280,0.19,0.06
TEC-PH-10002815,Technology,Phones,"Samsung Smart Phone, VoIP",286,0.05,0.08
TEC-MA-10000161,Technology,Machines,"Okidata Inkjet, Wireless",251,0.05,0.14
FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,254,0.11,0.13
OFF-AP-10004246,Office Supplies,Appliances,"Breville Stove, Red",144,0.18,0.06
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,236,0.06,0.1
TEC-APP-10000308,Technology,Phones,"Apple Smart Phone, Full Size",257,0.12,0.01
TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,207,0.14,0.15
TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,283,0.08,0.11
TEC-CO-10000013,Technology,Copiers,"Brother Fax Machine, Laser",219,0.04,0.02
TEC-PH-10000499,Technology,Phones,"Motorola Smart Phone, Full Size",110,0.17,0.19
TEC-PH-10003856,Technology,Phones,"Motorola Smart Phone, with Caller ID",249,0.18,0.06
FUR-BO-10004852,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",98,0.05,0.09
OFF-AP-10000486,Office Supplies,Appliances,"Cuisinart Stove, Silver",163,0.16,0.1
OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,151,0.01,0.13
FUR-CH-10003365,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",219,0.02,0.04
FUR-CH-10000602,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",77,0.05,0.04
TEC-MA-10002680,Technology,Machines,"Konica Inkjet, White",85,0.13,0.18
FUR-CH-10000891,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",152,0.06,0.17
TEC-CAN-10003392,Technology,Copiers,"Canon Copy Machine, Color",110,0.08,0.01
TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,284,0.14,0.2
FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine",270,0.15,0.06
TEC-MOT-10002272,Technology,Phones,"Motorola Smart Phone, with Caller ID",249,0.02,0.13
TEC-CO-10004997,Technology,Copiers,"Hewlett Wireless Fax, Color",53,0.12,0.18
TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,52,0.01,0.06
FUR-TA-10000226,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage",289,0.11,0.16
OFF-AP-10002244,Office Supplies,Appliances,"Breville Refrigerator, White",143,0.1,0.08
TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,70,0.16,0.18
FUR-BO-10001073,Furniture,Bookcases,"Safco Classic Bookcase, Metal",282,0.18,0.19
TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,45,0.15,0.03
TEC-PH-10002035,Technology,Phones,"Samsung Smart Phone, Cordless",226,0.15,0.17
TEC-PH-10002565,Technology,Phones,"Apple Audio Dock, with Caller ID",322,0.02,0.04
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,50,0.04,0.07
FUR-BO-10004999,Furniture,Bookcases,"Safco Classic Bookcase, Metal",282,0.11,0.18
FUR-TA-10001205,Furniture,Tables,"Chromcraft Wood Table, Rectangular",313,0.03,0.15
TEC-PH-10004196,Technology,Phones,"Samsung Smart Phone, Cordless",226,0.19,0.07
FUR-CHR-10001018,Furniture,Tables,"Chromcraft Round Table, Rectangular",243,0.01,0.12
FUR-CH-10003232,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",323,0.18,0.19
OFF-AP-10001630,Office Supplies,Appliances,"Hamilton Beach Microwave, Black",147,0.02,0.04
FUR-HAR-10002873,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",323,0.02,0.13
FUR-TA-10000687,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",170,0.12,0.04
TEC-PH-10004505,Technology,Phones,"Nokia Smart Phone, Full Size",279,0.07,0.01
TEC-PH-10002683,Technology,Phones,"Apple Smart Phone, Cordless",154,0.09,0.1
TEC-CO-10002269,Technology,Copiers,"Brother Ink, Color",248,0.08,0.01
TEC-CO-10002526,Technology,Copiers,"Sharp Wireless Fax, Digital",131,0,0.14
FUR-CH-10002891,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",204,0.15,0.17
TEC-CAN-10001437,Technology,Copiers,"Canon Wireless Fax, Laser",134,0.01,0.01
OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,213,0.05,0.11
TEC-PH-10004327,Technology,Phones,"Motorola Smart Phone, Full Size",110,0.02,0.14
